run sh: `/home/mounir.ourekouch/.conda/envs/re_ssm/bin/python /home/mounir.ourekouch/.conda/envs/re_ssm/lib/python3.10/site-packages/swift/cli/sft.py --model Qwen/Qwen2.5-7B-Instruct --train_type lora --dataset re_data/1_PROMPT/TACRED/TACRED_data_train.json --val_dataset re_data/1_PROMPT/TACRED/TACRED_data_dev.json --torch_dtype bfloat16 --num_train_epochs 2 --per_device_train_batch_size 4 --per_device_eval_batch_size 4 --learning_rate 1e-4 --lora_rank 8 --lora_alpha 32 --target_modules all-linear --gradient_accumulation_steps 16 --eval_strategy steps --eval_steps 50 --save_steps 50 --save_total_limit 5 --logging_steps 5 --max_length 2048 --output_dir output --system You are an AI assistant specialized in identifying relationships between named entities in sentences. --warmup_ratio 0.05 --dataloader_num_workers 4 --model_author swift --model_name swift-robot`
Downloading Model from https://www.modelscope.cn to directory: /home/mounir.ourekouch/.cache/modelscope/hub/models/Qwen/Qwen2.5-7B-Instruct
Downloading Model from https://www.modelscope.cn to directory: /home/mounir.ourekouch/.cache/modelscope/hub/models/Qwen/Qwen2.5-7B-Instruct
{'loss': 12.57966042, 'grad_norm': 41.4846611, 'learning_rate': 9.3e-07, 'token_acc': 0.33333333, 'epoch': 0.0, 'global_step/max_steps': '1/2128', 'percentage': '0.05%', 'elapsed_time': '5s', 'remaining_time': '3h 17m 1s', 'memory(GiB)': 17.2, 'train_speed(iter/s)': 0.179922}
{'loss': 12.98247623, 'grad_norm': 43.94956207, 'learning_rate': 4.67e-06, 'token_acc': 0.33723958, 'epoch': 0.0, 'global_step/max_steps': '5/2128', 'percentage': '0.23%', 'elapsed_time': '26s', 'remaining_time': '3h 4m 35s', 'memory(GiB)': 19.54, 'train_speed(iter/s)': 0.191681}
{'loss': 12.82603912, 'grad_norm': 44.07538605, 'learning_rate': 9.35e-06, 'token_acc': 0.34583333, 'epoch': 0.01, 'global_step/max_steps': '10/2128', 'percentage': '0.47%', 'elapsed_time': '50s', 'remaining_time': '2h 59m 51s', 'memory(GiB)': 19.55, 'train_speed(iter/s)': 0.196272}
{'loss': 11.13265381, 'grad_norm': 72.50743866, 'learning_rate': 1.402e-05, 'token_acc': 0.36145833, 'epoch': 0.01, 'global_step/max_steps': '15/2128', 'percentage': '0.70%', 'elapsed_time': '1m 15s', 'remaining_time': '2h 57m 42s', 'memory(GiB)': 21.67, 'train_speed(iter/s)': 0.198167}
{'loss': 5.98767014, 'grad_norm': 30.12065125, 'learning_rate': 1.869e-05, 'token_acc': 0.50208333, 'epoch': 0.02, 'global_step/max_steps': '20/2128', 'percentage': '0.94%', 'elapsed_time': '1m 40s', 'remaining_time': '2h 56m 17s', 'memory(GiB)': 21.67, 'train_speed(iter/s)': 0.199282}
{'loss': 2.06514053, 'grad_norm': 11.09115696, 'learning_rate': 2.336e-05, 'token_acc': 0.678125, 'epoch': 0.02, 'global_step/max_steps': '25/2128', 'percentage': '1.17%', 'elapsed_time': '2m 5s', 'remaining_time': '2h 55m 50s', 'memory(GiB)': 21.67, 'train_speed(iter/s)': 0.19933}
{'loss': 0.62912288, 'grad_norm': 6.60861063, 'learning_rate': 2.804e-05, 'token_acc': 0.91770833, 'epoch': 0.03, 'global_step/max_steps': '30/2128', 'percentage': '1.41%', 'elapsed_time': '2m 30s', 'remaining_time': '2h 55m 15s', 'memory(GiB)': 21.67, 'train_speed(iter/s)': 0.199509}
{'loss': 0.4203145, 'grad_norm': 3.08597112, 'learning_rate': 3.271e-05, 'token_acc': 0.95416667, 'epoch': 0.03, 'global_step/max_steps': '35/2128', 'percentage': '1.64%', 'elapsed_time': '2m 54s', 'remaining_time': '2h 54m 3s', 'memory(GiB)': 21.67, 'train_speed(iter/s)': 0.200415}
{'loss': 0.19301023, 'grad_norm': 1.90621531, 'learning_rate': 3.738e-05, 'token_acc': 0.95208333, 'epoch': 0.04, 'global_step/max_steps': '40/2128', 'percentage': '1.88%', 'elapsed_time': '3m 19s', 'remaining_time': '2h 53m 20s', 'memory(GiB)': 21.67, 'train_speed(iter/s)': 0.200752}
{'loss': 0.16725311, 'grad_norm': 1.68437624, 'learning_rate': 4.206e-05, 'token_acc': 0.95104167, 'epoch': 0.04, 'global_step/max_steps': '45/2128', 'percentage': '2.11%', 'elapsed_time': '3m 43s', 'remaining_time': '2h 52m 46s', 'memory(GiB)': 21.67, 'train_speed(iter/s)': 0.200927}
{'loss': 0.1243944, 'grad_norm': 0.90218592, 'learning_rate': 4.673e-05, 'token_acc': 0.94895833, 'epoch': 0.05, 'global_step/max_steps': '50/2128', 'percentage': '2.35%', 'elapsed_time': '4m 8s', 'remaining_time': '2h 52m 5s', 'memory(GiB)': 21.67, 'train_speed(iter/s)': 0.20124}
