run sh: `/home/mounir.ourekouch/.conda/envs/re_ssm/bin/python /home/mounir.ourekouch/.conda/envs/re_ssm/lib/python3.10/site-packages/swift/cli/sft.py --model Qwen/Qwen2.5-7B-Instruct --train_type lora --dataset re_data/1_PROMPT/RETACRED/ReTACRED_data_train.json --val_dataset re_data/1_PROMPT/RETACRED/ReTACRED_data_dev.json --torch_dtype bfloat16 --num_train_epochs 2 --per_device_train_batch_size 4 --per_device_eval_batch_size 4 --learning_rate 1e-4 --lora_rank 8 --lora_alpha 32 --target_modules all-linear --gradient_accumulation_steps 16 --eval_strategy steps --eval_steps 50 --save_steps 50 --save_total_limit 5 --logging_steps 5 --max_length 2048 --output_dir output --system You are an AI assistant specialized in identifying relationships between named entities in sentences. --warmup_ratio 0.05 --dataloader_num_workers 4 --model_author swift --model_name swift-robot`
Downloading Model from https://www.modelscope.cn to directory: /home/mounir.ourekouch/.cache/modelscope/hub/models/Qwen/Qwen2.5-7B-Instruct
Downloading Model from https://www.modelscope.cn to directory: /home/mounir.ourekouch/.cache/modelscope/hub/models/Qwen/Qwen2.5-7B-Instruct
{'loss': 13.40684319, 'grad_norm': 41.44428635, 'learning_rate': 1.09e-06, 'token_acc': 0.34375, 'epoch': 0.0, 'global_step/max_steps': '1/1828', 'percentage': '0.05%', 'elapsed_time': '7s', 'remaining_time': '3h 35m 25s', 'memory(GiB)': 18.54, 'train_speed(iter/s)': 0.141347}
{'loss': 13.36873245, 'grad_norm': 42.96270752, 'learning_rate': 5.43e-06, 'token_acc': 0.3359375, 'epoch': 0.01, 'global_step/max_steps': '5/1828', 'percentage': '0.27%', 'elapsed_time': '27s', 'remaining_time': '2h 47m 32s', 'memory(GiB)': 20.34, 'train_speed(iter/s)': 0.181354}
{'loss': 13.10051575, 'grad_norm': 50.5940094, 'learning_rate': 1.087e-05, 'token_acc': 0.3375, 'epoch': 0.01, 'global_step/max_steps': '10/1828', 'percentage': '0.55%', 'elapsed_time': '53s', 'remaining_time': '2h 41m 17s', 'memory(GiB)': 22.69, 'train_speed(iter/s)': 0.187864}
{'loss': 10.90395889, 'grad_norm': 78.5606842, 'learning_rate': 1.63e-05, 'token_acc': 0.38125, 'epoch': 0.02, 'global_step/max_steps': '15/1828', 'percentage': '0.82%', 'elapsed_time': '1m 18s', 'remaining_time': '2h 37m 42s', 'memory(GiB)': 22.69, 'train_speed(iter/s)': 0.191606}
{'loss': 5.20453911, 'grad_norm': 29.60410309, 'learning_rate': 2.174e-05, 'token_acc': 0.515625, 'epoch': 0.02, 'global_step/max_steps': '20/1828', 'percentage': '1.09%', 'elapsed_time': '1m 43s', 'remaining_time': '2h 35m 29s', 'memory(GiB)': 22.69, 'train_speed(iter/s)': 0.193802}
{'loss': 1.45187225, 'grad_norm': 14.57365894, 'learning_rate': 2.717e-05, 'token_acc': 0.73958333, 'epoch': 0.03, 'global_step/max_steps': '25/1828', 'percentage': '1.37%', 'elapsed_time': '2m 8s', 'remaining_time': '2h 34m 11s', 'memory(GiB)': 22.69, 'train_speed(iter/s)': 0.194883}
{'loss': 0.52799263, 'grad_norm': 5.60761833, 'learning_rate': 3.261e-05, 'token_acc': 0.91354167, 'epoch': 0.03, 'global_step/max_steps': '30/1828', 'percentage': '1.64%', 'elapsed_time': '2m 33s', 'remaining_time': '2h 33m 21s', 'memory(GiB)': 22.69, 'train_speed(iter/s)': 0.195406}
{'loss': 0.27588763, 'grad_norm': 2.13267326, 'learning_rate': 3.804e-05, 'token_acc': 0.94583333, 'epoch': 0.04, 'global_step/max_steps': '35/1828', 'percentage': '1.91%', 'elapsed_time': '2m 58s', 'remaining_time': '2h 32m 15s', 'memory(GiB)': 22.69, 'train_speed(iter/s)': 0.196262}
{'loss': 0.14798388, 'grad_norm': 1.61627197, 'learning_rate': 4.348e-05, 'token_acc': 0.94895833, 'epoch': 0.04, 'global_step/max_steps': '40/1828', 'percentage': '2.19%', 'elapsed_time': '3m 24s', 'remaining_time': '2h 32m 26s', 'memory(GiB)': 28.76, 'train_speed(iter/s)': 0.195485}
{'loss': 0.13110785, 'grad_norm': 1.14253545, 'learning_rate': 4.891e-05, 'token_acc': 0.95833333, 'epoch': 0.05, 'global_step/max_steps': '45/1828', 'percentage': '2.46%', 'elapsed_time': '3m 49s', 'remaining_time': '2h 31m 37s', 'memory(GiB)': 28.76, 'train_speed(iter/s)': 0.195985}
{'loss': 0.11581755, 'grad_norm': 1.12864757, 'learning_rate': 5.435e-05, 'token_acc': 0.95520833, 'epoch': 0.05, 'global_step/max_steps': '50/1828', 'percentage': '2.74%', 'elapsed_time': '4m 15s', 'remaining_time': '2h 31m 30s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.195581}
